Canal,Tratamiento,Concentracion,Celula,Voltaje,Corriente,Var1,Var2
Nav1.2,Control,2,1,-90,-0.05747805908,0.01308244957,0.8555187306
Nav1.2,Control,2,1,-85,-0.08096344024,0.01917397242,0.873658929
Nav1.2,Control,2,1,-80,-0.1253353655,0.03093466263,0.9354935499
Nav1.2,Control,2,1,-75,-0.138188839,0.03560960931,1
Nav1.2,Control,2,1,-70,-0.08026450872,0.02163634591,0.9768050906
Nav1.2,Control,2,1,-65,-0.06958007813,0.01966231569,0.9599496669
Nav1.2,Control,2,1,-60,-0.05003241822,0.01485611888,0.8686985532
Nav1.2,Control,2,1,-55,-0.05397346243,0.01688335572,0.714051047
Nav1.2,Control,2,1,-50,-0.06933067739,0.0229124893,0.574557693
Nav1.2,Control,2,1,-45,-0.09523454309,0.03335785598,0.449811875
Nav1.2,Control,2,1,-40,-0.2210982442,0.08237695591,0.3557397516
Nav1.2,Control,2,1,-35,-1.35205996,0.5380203655,0.3082420449
Nav1.2,Control,2,1,-30,-2.157576323,0.9212249642,0.240885193
Nav1.2,Control,2,1,-25,-2.171118975,1,0.1560678585
Nav1.2,Control,2,1,-20,-2.085285902,1.042557084,0.1284469558
Nav1.2,Control,2,1,-15,-1.990845442,1.088363242,0.07103244269
Nav1.2,Control,2,1,-10,-1.856239915,1.119392701,0.03341814461
Nav1.2,Control,2,1,-5,-1.636893988,1.100579449,0.001718946914
Nav1.2,Control,2,1,0,-1.439156532,1.093295111,0
Nav1.2,Control,2,1,5,-1.332144737,,
Nav1.2,Control,2,1,10,-1.195701718,,
Nav1.2,Control,2,1,15,-1.050050855,,
Nav1.2,Control,2,1,20,-0.9528933167,,
Nav1.2,Control,2,1,25,-0.7984448671,,
Nav1.2,Control,2,1,30,-0.6036311388,,
Nav1.2,Control,2,1,35,-0.3515395224,,
Nav1.2,Control,2,1,40,-0.2139872909,,
Nav1.2,Control,2,1,45,-0.04822758585,,
Nav1.2,Control,2,1,50,-0.03380891681,,
Nav1.2,Control,2,1,55,-0.0282303784,,
Nav1.2,Control,2,1,60,-0.02137212083,,
Nav1.2,Control,2,1,65,-0.03362840414,,
Nav1.2,Veneno,2,1,-90,-0.1164579839,0.01565020901,0.9606407588
