"Voltaje","Trat","emmean","SE","df","lower.CL","upper.CL","Channel","Concentration","Variable"
-90,"Control",-0.0687976507163381,0.513154915566991,475.307903190399,-1.07713039346594,0.939535092033264,"BgNav1","1","Corriente"
-90,"Veneno",-0.0526809220678321,0.511742465102616,475.307903190399,-1.05823824552876,0.952876401393099,"BgNav1","1","Corriente"
-85,"Control",0.00239043056029969,0.411020226717904,475.307903190399,-0.805250965750018,0.810031826870617,"BgNav1","1","Corriente"
-85,"Veneno",0.0147952330976318,0.410253939181324,475.307903190399,-0.791340433090933,0.820930899286197,"BgNav1","1","Corriente"
-80,"Control",-0.0106480501894745,0.420892846227687,475.307903190399,-0.837688823191766,0.816392722812817,"BgNav1","1","Corriente"
-80,"Veneno",0.00784681938358113,0.419131163193246,475.307903190399,-0.815732303672299,0.831425942439462,"BgNav1","1","Corriente"
-75,"Control",-0.0312400062679296,0.409343231731743,475.307903190399,-0.835586161896191,0.773106149360332,"BgNav1","1","Corriente"
-75,"Veneno",-0.0142118050369341,0.408391826223007,475.307903190399,-0.816688479740451,0.788264869666583,"BgNav1","1","Corriente"
-70,"Control",0.0747117523216702,0.413862964799308,475.307903190399,-0.738515531991636,0.887939036634977,"BgNav1","1","Corriente"
-70,"Veneno",0.0699096688686697,0.412373657450383,475.307903190399,-0.740391174873996,0.880210512611336,"BgNav1","1","Corriente"
-65,"Control",0.19162695146222,0.409692432896356,475.307903190399,-0.613405373113086,0.996659276037526,"BgNav1","1","Corriente"
-65,"Veneno",0.188423586455837,0.408425818534525,475.307903190399,-0.614119882035804,0.990967054947478,"BgNav1","1","Corriente"
-60,"Control",-0.116115121553127,0.411869973020965,475.307903190399,-0.925426241750743,0.693195998644488,"BgNav1","1","Corriente"
-60,"Veneno",-0.0217026331374765,0.410446981605834,475.307903190399,-0.828217621420535,0.784812355145582,"BgNav1","1","Corriente"
-55,"Control",-1.23169820508753,0.411207810674585,475.307903190399,-2.03970819778034,-0.423688212394718,"BgNav1","1","Corriente"
