"Voltaje","contrast","estimate","SE","df","t.ratio","p.value","Channel","Concentration","Variable","sig"
-90,"Control - Veneno",-0.0161167286484938,0.72471257610173,475.3079031904,-0.0222387870446331,0.982266810380269,"BgNav1","1","Corriente",""
-85,"Control - Veneno",-0.0124048025373206,0.58072878470505,475.3079031904,-0.0213607502573184,0.982966847259113,"BgNav1","1","Corriente",""
-80,"Control - Veneno",-0.0184948695730009,0.593987979647166,475.3079031904,-0.031136774154903,0.975173532306665,"BgNav1","1","Corriente",""
-75,"Control - Veneno",-0.017028201230984,0.578226396051163,475.3079031904,-0.0294490209151181,0.9765188375848,"BgNav1","1","Corriente",""
-70,"Control - Veneno",0.00480208345303181,0.584238467572543,475.3079031904,0.00821938937534194,0.993445398575211,"BgNav1","1","Corriente",""
-65,"Control - Veneno",0.00320336500642248,0.578497656709361,475.3079031904,0.00553738631309938,0.9955841508147,"BgNav1","1","Corriente",""
-60,"Control - Veneno",-0.09441248841565,0.581466765504009,475.3079031904,-0.162369535142416,0.871083863135094,"BgNav1","1","Corriente",""
-55,"Control - Veneno",-0.285164220240013,0.580568683504588,475.3079031904,-0.491180851365641,0.623525255750371,"BgNav1","1","Corriente",""
-50,"Control - Veneno",-0.443214136493714,0.579652117143013,475.3079031904,-0.764620922421927,0.444876747167477,"BgNav1","1","Corriente",""
-45,"Control - Veneno",-0.41742793667977,0.581911439209322,475.3079031904,-0.717339286622299,0.473517146916651,"BgNav1","1","Corriente",""
-40,"Control - Veneno",-0.181080572965776,0.578735183980985,475.3079031904,-0.312890209508544,0.754501315092176,"BgNav1","1","Corriente",""
-35,"Control - Veneno",0.137705995731715,0.582325231453231,475.3079031904,0.236476093244423,0.813165129616527,"BgNav1","1","Corriente",""
-30,"Control - Veneno",0.379274358852955,0.578774119717106,475.3079031904,0.655306355160347,0.512587557518153,"BgNav1","1","Corriente",""
-25,"Control - Veneno",0.486536041122853,0.581853202449456,475.3079031904,0.836183489365803,0.403471852817668,"BgNav1","1","Corriente",""
-20,"Control - Veneno",0.512378558502272,0.579591100960405,475.3079031904,0.884034550656904,0.377124504256238,"BgNav1","1","Corriente",""
-15,"Control - Veneno",0.526817031195589,0.580786652429935,475.3079031904,0.907074962882594,0.364826783849626,"BgNav1","1","Corriente",""
